id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_profile_id,host_profile_url,host_name,host_since,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,price_quote_checkin_date,price_quote_checkout_date,price_quote_total_price,price_quote_price_per_night,price_quote_raw,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
71609,https://www.airbnb.com/rooms/71609,20260629151954,2026-07-02,previous scrape,Ensuite Room (Room 1 & 2) near EXPO,For 3 rooms.Book room 1&2 and room 4,,https://a0.muscache.com/pictures/24453191/35803acb_original.jpg,367042,https://www.airbnb.com/users/show/367042,1462516725725391209,https://www.airbnb.com/users/profile/1462516725725391209,Belinda,,15,5,15,5,Singapore,"Hi My name is Belinda -Housekeeper 

I would like to welcome you to my ""Homestay Website"" 


Accomodation for: 

- an extended stay for studies, min 3 months
- business,
- training in singapore
 

Room rental are available for min 3month or longer .Room rental depending on the choice of a common sharing room (family suite) ,a standard room,a deluxe room or a triplet room which varies in sizes. We hope to give you a warm home feeling here with sweet dreams. Please forgive us if we cannot meet your  high expectations.We will try our best to make your stay as comfortable as a homestay.

Regards
Belinda",,,,f,,https://a0.muscache.com/im/users/367042/profile_pic/1382521511/original.jpg?aki_policy=profile_x_medium,,6,,None,t,t,,Tampines,East Region,1.34537,103.95887,Private room in villa,Private room,2,,1 private bath,2,,"[""Hangers"", ""BBQ grill"", ""Shared hot tub"", ""Cooking basics"", ""Long term stays allowed"", ""Free parking on premises"", ""Keypad"", ""Shampoo"", ""Air conditioning"", ""Fire pit"", ""TV"", ""Outdoor furniture"", ""Outdoor kitchen"", ""Essentials"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Washer"", ""Dedicated workspace"", ""Private backyard \u2013 Fully fenced"", ""Luggage dropoff allowed"", ""Wifi"", ""Fire extinguisher"", ""Hair dryer"", ""Outdoor dining area"", ""Free street parking"", ""Private entrance"", ""Iron"", ""Dryer"", ""Hot water"", ""Children\u2019s books and toys"", ""Smoke alarm""]",,,,,,,92,1125,92,92,1125,1125,92.0,1125.0,,t,29,59,89,90,2026-07-02,19,0,0,90,0,0,,2011-12-19,2020-01-17,4.44,4.37,4.0,4.63,4.78,4.26,4.32,,,5,0,5,0,0.11
71896,https://www.airbnb.com/rooms/71896,20260629151954,2026-07-02,previous scrape,B&B  Room 1 near Airport & EXPO,,,https://a0.muscache.com/pictures/2440674/ac4f4442_original.jpg,367042,https://www.airbnb.com/users/show/367042,1462516725725391209,https://www.airbnb.com/users/profile/1462516725725391209,Belinda,,15,5,15,5,Singapore,"Hi My name is Belinda -Housekeeper 

I would like to welcome you to my ""Homestay Website"" 


Accomodation for: 

- an extended stay for studies, min 3 months
- business,
- training in singapore
 

Room rental are available for min 3month or longer .Room rental depending on the choice of a common sharing room (family suite) ,a standard room,a deluxe room or a triplet room which varies in sizes. We hope to give you a warm home feeling here with sweet dreams. Please forgive us if we cannot meet your  high expectations.We will try our best to make your stay as comfortable as a homestay.

Regards
Belinda",,,,f,,https://a0.muscache.com/im/users/367042/profile_pic/1382521511/original.jpg?aki_policy=profile_x_medium,,6,,None,t,t,,Tampines,East Region,1.34754,103.95958,Private room in home,Private room,1,,Shared half-bath,,,"[""Dishes and silverware"", ""Drying rack for clothing"", ""Hangers"", ""Lock on bedroom door"", ""BBQ grill"", ""Shared hot tub"", ""Cooking basics"", ""Free parking on premises"", ""Keypad"", ""Coffee maker"", ""Shampoo"", ""Fire pit"", ""TV"", ""Outdoor furniture"", ""Outdoor kitchen"", ""Essentials"", ""Paid parking on premises"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Washer"", ""Dedicated workspace"", ""Private backyard \u2013 Fully fenced"", ""Cleaning products"", ""Wifi"", ""Extra pillows and blankets"", ""Hair dryer"", ""Outdoor dining area"", ""Free street parking"", ""Shower gel"", ""Iron"", ""Dryer"", ""Bed linens"", ""Hot water"", ""Private entrance"", ""AC - split type ductless system"", ""Smoke alarm""]",,,,,,,92,1125,92,92,1125,1125,92.0,1125.0,,t,29,59,89,90,2026-07-02,24,0,0,90,0,0,,2011-07-30,2019-10-13,4.16,4.22,4.09,4.43,4.43,4.17,4.04,,,5,0,5,0,0.13
71903,https://www.airbnb.com/rooms/71903,20260629151954,2026-07-02,previous scrape,Room 2-near Airport & EXPO,"Like your own home, 24hrs access.",,https://a0.muscache.com/pictures/568743/7bc623e9_original.jpg,367042,https://www.airbnb.com/users/show/367042,1462516725725391209,https://www.airbnb.com/users/profile/1462516725725391209,Belinda,,15,5,15,5,Singapore,"Hi My name is Belinda -Housekeeper 

I would like to welcome you to my ""Homestay Website"" 


Accomodation for: 

- an extended stay for studies, min 3 months
- business,
- training in singapore
 

Room rental are available for min 3month or longer .Room rental depending on the choice of a common sharing room (family suite) ,a standard room,a deluxe room or a triplet room which varies in sizes. We hope to give you a warm home feeling here with sweet dreams. Please forgive us if we cannot meet your  high expectations.We will try our best to make your stay as comfortable as a homestay.

Regards
Belinda",,,,f,,https://a0.muscache.com/im/users/367042/profile_pic/1382521511/original.jpg?aki_policy=profile_x_medium,,6,,None,t,t,,Tampines,East Region,1.34531,103.961,Private room in home,Private room,2,,Shared half-bath,,,"[""Lock on bedroom door"", ""BBQ grill"", ""Shared hot tub"", ""Cooking basics"", ""Free parking on premises"", ""Keypad"", ""Coffee maker"", ""Shampoo"", ""Fire pit"", ""TV"", ""Outdoor furniture"", ""Outdoor kitchen"", ""Essentials"", ""Self check-in"", ""Kitchen"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Heating"", ""Outdoor dining area"", ""Free street parking"", ""Dryer"", ""Hot water"", ""AC - split type ductless system"", ""Smoke alarm""]",,,,,,,92,1125,92,92,1125,1125,92.0,1125.0,,t,29,59,89,90,2026-07-02,46,0,0,90,0,0,,2011-05-04,2020-01-09,4.41,4.39,4.52,4.63,4.64,4.5,4.36,,,5,0,5,0,0.25
294281,https://www.airbnb.com/rooms/294281,20260629151954,2026-07-02,previous scrape,5 mins walk from Newton subway,I have 3 bedrooms  in a charming British style townhouse for you and your family while you are visiting Singapore . This is the GREEN ROOM .<br />https://www.airbnb.co.uk/rooms/294281 <br /> Be sure to look at the other 2 rooms .<br /><br />BURGUNDY ROOM(https://www.airbnb.co.uk/rooms/369141   )<br />BLUE ROOM (https://www.airbnb.co.uk/rooms/369145),,https://a0.muscache.com/pictures/4607862/87f42d40_original.jpg,1521514,https://www.airbnb.com/users/show/1521514,1462518637211194506,https://www.airbnb.com/users/profile/1462518637211194506,Elizbeth,,14,6,14,6,Singapore,"Hello !
I am Elizabeth from Singapore.

Looking forward to hosting you in our lovely little sunny island.",,,,f,,https://a0.muscache.com/im/users/1521514/profile_pic/1324398791/original.jpg?aki_policy=profile_x_medium,,7,,None,t,t,,Newton,Central Region,1.31142,103.83924,Private room in rental unit,Private room,2,,1 shared bath,2,,"[""Dishes and silverware"", ""Hangers"", ""Long term stays allowed"", ""Cooking basics"", ""Stove"", ""Shampoo"", ""Air conditioning"", ""Essentials"", ""Microwave"", ""Kitchen"", ""Refrigerator"", ""Washer"", ""Wifi"", ""Extra pillows and blankets"", ""Hair dryer"", ""Oven"", ""Free street parking"", ""Iron"", ""Bed linens"", ""Hot water"", ""Private patio or balcony"", ""Park view"", ""Smoke alarm""]",$31.71,2026-07-03,2026-10-03,2917.00,31.71,"{""quote"": {""taxes"": null, ""currency"": ""SGD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""2917"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""31.70652173913043478260869565"", ""nightly_subtotal"": null, ""discounted_subtotal"": null, ""raw_price_line_items"": [{""amount"": ""2916.99"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$2,916.99 SGD""}, {""amount"": ""2916.99"", ""item_type"": ""other"", ""description"": ""Total"", ""price_string"": ""$2,916.99 SGD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-07-03"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-10-03""}}",92,1125,92,92,1125,1125,92.0,1125.0,,t,29,59,89,364,2026-07-02,131,0,0,182,0,0,0,2012-01-28,2020-01-21,4.43,4.33,4.16,4.5,4.66,4.52,4.39,,,7,1,6,0,0.75
344803,https://www.airbnb.com/rooms/344803,20260629151954,2026-07-02,previous scrape,Budget short stay room near  EXPO,"Direct bus 24 from airport to this place.Walking distance to expo,downtown line3 and east west line(green line)",,https://a0.muscache.com/pictures/4240c88e-4dc2-4204-bc2d-a44d9c4cf4b2.jpg,367042,https://www.airbnb.com/users/show/367042,1462516725725391209,https://www.airbnb.com/users/profile/1462516725725391209,Belinda,,15,5,15,5,Singapore,"Hi My name is Belinda -Housekeeper 

I would like to welcome you to my ""Homestay Website"" 


Accomodation for: 

- an extended stay for studies, min 3 months
- business,
- training in singapore
 

Room rental are available for min 3month or longer .Room rental depending on the choice of a common sharing room (family suite) ,a standard room,a deluxe room or a triplet room which varies in sizes. We hope to give you a warm home feeling here with sweet dreams. Please forgive us if we cannot meet your  high expectations.We will try our best to make your stay as comfortable as a homestay.

Regards
Belinda",,,,f,,https://a0.muscache.com/im/users/367042/profile_pic/1382521511/original.jpg?aki_policy=profile_x_medium,,6,,None,t,t,,Tampines,East Region,1.34917,103.9609,Private room in home,Private room,1,,1.5 shared baths,,,"[""Dishes and silverware"", ""Drying rack for clothing"", ""Hangers"", ""Lock on bedroom door"", ""Tecno gas stove"", ""BBQ grill"", ""Cooking basics"", ""Free parking on premises"", ""Garden view"", ""Keypad"", ""Coffee maker"", ""Body soap"", ""Shampoo"", ""Fire pit"", ""TV"", ""Outdoor furniture"", ""Outdoor kitchen"", ""Essentials"", ""Microwave"", ""Outdoor shower"", ""Self check-in"", ""Kitchen"", ""Refrigerator"", ""Dedicated workspace"", ""Private backyard \u2013 Fully fenced"", ""Cleaning products"", ""Wifi"", ""Bathtub"", ""Extra pillows and blankets"", ""Hair dryer"", ""Oven"", ""Outdoor dining area"", ""Free street parking"", ""Shower gel"", ""Iron"", ""Dryer"", ""Bed linens"", ""Hot water"", ""AC - split type ductless system"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Bidet"", ""High chair"", ""Paid parking off premises"", ""Free washer \u2013 In unit""]",$14.66,2026-07-03,2026-10-03,1348.49,14.66,"{""quote"": {""taxes"": null, ""currency"": ""SGD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""1348.49"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": ""208.53"", ""price_per_night"": ""14.6575"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""1348.49"", ""raw_price_line_items"": [{""amount"": ""1557.02"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$1,557.02 SGD""}, {""amount"": ""-208.53"", ""item_type"": ""discount_amount"", ""description"": ""Monthly stay discount"", ""price_string"": ""-$208.53 SGD""}, {""amount"": ""1348.49"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$1,348.49 SGD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-07-03"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-10-03""}}",92,1125,92,92,1125,1125,92.0,1125.0,,t,29,59,89,364,2026-07-02,60,0,0,182,0,0,0,2012-03-13,2023-08-01,4.6,4.59,4.46,4.76,4.58,4.66,4.44,,,5,0,5,0,0.34
369141,https://www.airbnb.com/rooms/369141,20260629151954,2026-07-02,previous scrape,5mins from Newton Train Station,A room in a charming British style townhouse for you and your family while you are visiting Singapore .,,https://a0.muscache.com/pictures/21784952/12aacf76_original.jpg,1521514,https://www.airbnb.com/users/show/1521514,1462518637211194506,https://www.airbnb.com/users/profile/1462518637211194506,Elizbeth,,14,6,14,6,Singapore,"Hello !
I am Elizabeth from Singapore.

Looking forward to hosting you in our lovely little sunny island.",,,,f,,https://a0.muscache.com/im/users/1521514/profile_pic/1324398791/original.jpg?aki_policy=profile_x_medium,,7,,None,t,t,,Newton,Central Region,1.31144,103.83784,Private room,Private room,2,,1 bath,,,"[""Dishes and silverware"", ""Hangers"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Cooking basics"", ""Stove"", ""Shampoo"", ""Air conditioning"", ""TV"", ""Essentials"", ""Microwave"", ""Kitchen"", ""Refrigerator"", ""Washer"", ""Wifi"", ""Extra pillows and blankets"", ""Hair dryer"", ""Oven"", ""Free street parking"", ""Iron"", ""Bed linens"", ""Hot water"", ""Smoke alarm""]",,2026-07-03,2026-10-03,,,"{""quote"": {""taxes"": null, ""currency"": ""SGD"", ""date_match"": null, ""service_fee"": null, ""total_price"": null, ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": ""273.27"", ""price_per_night"": null, ""nightly_subtotal"": null, ""discounted_subtotal"": null, ""raw_price_line_items"": [{""amount"": ""3017.76"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$3,017.76 SGD""}, {""amount"": ""-273.27"", ""item_type"": ""discount_amount"", ""description"": ""Monthly stay discount"", ""price_string"": ""-$273.27 SGD""}, {""amount"": ""2744.49"", ""item_type"": ""other"", ""description"": ""Total"", ""price_string"": ""$2,744.49 SGD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-07-03"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-10-03""}}",92,180,92,92,180,180,92.0,180.0,,t,29,59,89,364,2026-07-02,81,0,0,182,0,0,,2013-10-03,2020-01-04,4.43,4.45,4.41,4.71,4.76,4.64,4.55,,,7,1,6,0,0.52
369145,https://www.airbnb.com/rooms/369145,20260629151954,2026-07-02,previous scrape,5 mins walk from Newton MRT,,,https://a0.muscache.com/pictures/129807ba-7206-4a82-81fa-925c602d47f9.jpg,1521514,https://www.airbnb.com/users/show/1521514,1462518637211194506,https://www.airbnb.com/users/profile/1462518637211194506,Elizbeth,,14,6,14,6,Singapore,"Hello !
I am Elizabeth from Singapore.

Looking forward to hosting you in our lovely little sunny island.",,,,f,,https://a0.muscache.com/im/users/1521514/profile_pic/1324398791/original.jpg?aki_policy=profile_x_medium,,7,,None,t,t,,Newton,Central Region,1.31129,103.83788,Private room in townhouse,Private room,2,,1 shared bath,2,,"[""Dishes and silverware"", ""Hangers"", ""Cooking basics"", ""Stove"", ""Air conditioning"", ""Essentials"", ""Microwave"", ""Kitchen"", ""Refrigerator"", ""TV with standard cable"", ""Washer"", ""Wifi"", ""Extra pillows and blankets"", ""Hair dryer"", ""Oven"", ""Free street parking"", ""Iron"", ""Bed linens"", ""Hot water""]",$26.24,2026-07-03,2026-10-03,2414.00,26.24,"{""quote"": {""taxes"": null, ""currency"": ""SGD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""2414"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""26.23913043478260869565217391"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""2413.68"", ""raw_price_line_items"": [{""amount"": ""2413.68"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$2,413.68 SGD""}, {""amount"": ""2413.68"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$2,413.68 SGD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-07-03"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-10-03""}}",92,1125,92,92,1125,1125,92.0,1125.0,,t,29,59,89,364,2026-07-02,163,0,0,182,0,0,0,2012-04-12,2020-01-10,4.39,4.31,4.12,4.65,4.67,4.6,4.32,,,7,1,6,0,0.94
395191,https://www.airbnb.com/rooms/395191,20260629151954,2026-07-02,previous scrape,Heritage Apartment Room near Orchard,A basic simple small room for solo traveler in a heart of Singapore's central area- with easy access to buses and MRT train- Located in a heritage district.,,https://a0.muscache.com/pictures/4678049/70e55239_original.jpg,1975201,https://www.airbnb.com/users/show/1975201,1462583187367506541,https://www.airbnb.com/users/profile/1462583187367506541,Adi,,14,3,14,3,Singapore,"I like travelling a lot, as well as good food. 

Singapore is not only a place for the future, but has an incredible rich history, which I think people should know about. Contact me if you have any questions!",,,,f,,https://a0.muscache.com/im/users/1975201/profile_pic/1407484173/original.jpg?aki_policy=profile_x_medium,,1,,None,t,t,,River Valley,Central Region,1.29496,103.83575,Private room in rental unit,Private room,1,,0 baths,,,"[""Pool"", ""Hangers"", ""Air conditioning"", ""Washer"", ""Iron"", ""Dryer"", ""Lock on bedroom door"", ""Elevator"", ""Wifi"", ""Backyard"", ""Kitchen"", ""Hair dryer""]",,,,,,,93,365,93,93,365,365,93.0,365.0,,t,22,52,82,83,2026-07-02,27,0,0,83,0,0,,2013-07-30,2017-08-07,4.31,4.27,4.08,4.73,4.69,4.58,4.19,,,1,0,1,0,0.17
468782,https://www.airbnb.com/rooms/468782,20260629151954,2026-07-02,previous scrape,Lovely Ensuite Room in Serangoon,"Our cosy room is suitable for those who are here for work, to study or just on a vacation. A stones throw away are many local food centres, a shopping centre, banks and parks.",,https://a0.muscache.com/pictures/5965038/cd9d59b8_original.jpg,2327208,https://www.airbnb.com/users/show/2327208,1462523553036873093,https://www.airbnb.com/users/profile/1462523553036873093,Jerome,,14,1,14,1,Singapore,"Staying with us is not for everyone. If you enjoy visiting the touristy places, googling ""top 10 destinations in Singapore"", then it would be better to find somewhere else. 

But, if you like to explore the nooks and crannies in Singapore, and visit eateries locals frequent, then you have come to the right place!

Whether you are in Singapore for Business or Holiday, I will show you my hidden eating spots, the places that tripadvisor hasn't discovered. The places to visit that few travellers know of. Plus, everything locals know that you cannot find online.

If you think staying with us is right for you, drop me a message:)",,,,f,,https://a0.muscache.com/im/pictures/user/8d35021e-f3b8-4861-846d-dfa7bae63278.jpg?aki_policy=profile_x_medium,,2,,None,t,t,,Serangoon,North-East Region,1.36288,103.86575,Private room in home,Private room,2,,1.5 baths,1,,"[""Dishes and silverware"", ""Air conditioning"", ""Washer"", ""Lock on bedroom door"", ""Dryer"", ""Wifi"", ""Free parking on premises"", ""Essentials""]",$17.67,2026-07-03,2026-10-03,1625.69,17.67,"{""quote"": {""taxes"": null, ""currency"": ""SGD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""1625.69"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": ""405.68"", ""price_per_night"": ""17.67054347826086956521739130"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""1625.69"", ""raw_price_line_items"": [{""amount"": ""2031.37"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$2,031.37 SGD""}, {""amount"": ""-405.68"", ""item_type"": ""discount_amount"", ""description"": ""Monthly stay discount"", ""price_string"": ""-$405.68 SGD""}, {""amount"": ""1625.69"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$1,625.69 SGD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-07-03"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-10-03""}}",92,180,92,92,180,180,92.0,180.0,,t,29,59,89,364,2026-07-02,83,0,0,182,1,0,0,2012-05-22,2025-04-27,4.7,4.63,4.49,4.83,4.88,4.57,4.6,,,1,0,1,0,0.48
696136,https://www.airbnb.com/rooms/696136,20260629151954,2026-07-02,previous scrape,Quiet ensuite room in Holland Village,,,https://a0.muscache.com/pictures/9475406/e1c47a6a_original.jpg,1289033,https://www.airbnb.com/users/show/1289033,1462541822739692649,https://www.airbnb.com/users/profile/1462541822739692649,Grace,,14,8,13,9,Singapore,"Curious explorer at the school of life! 
I like museums, concerts, reading in cafes, people watching, walking around cities, spending time in nature, learning languages. And meeting new people :)",,,,f,,https://a0.muscache.com/im/users/1289033/profile_pic/1318576335/original.jpg?aki_policy=profile_x_medium,,1,,None,t,t,,Bukit Timah,Central Region,1.30938,103.79812,Private room in home,Private room,2,,1 bath,,,"[""Hangers"", ""Air conditioning"", ""Washer"", ""Iron"", ""Wifi"", ""Kitchen"", ""Hair dryer""]",,,,,,,92,1125,92,92,1125,1125,92.0,1125.0,,t,29,59,89,90,2026-07-02,26,0,0,90,0,0,,2012-09-24,2017-08-12,4.5,4.28,4.48,4.8,4.8,4.88,4.44,,,1,0,1,0,0.16
747813,https://www.airbnb.com/rooms/747813,20260629151954,2026-07-02,previous scrape,Fantastic Serviced Apartment in the Singapore CBD,"Fantastic central serviced apartment available in the heart of Singapore's central business district, Nearby Tanjong Pagar MRT station in the middle of the CBD.<br /><br />Now with new cable TV with included all the latest movies and sports packages, Barclays Premier League (BPL) Rugby, Golf, Tennis etc.. broadcast. <br /><br />And new superfast fibre broadband wifi-internet.",,https://a0.muscache.com/pictures/ba895238-3fb4-45d3-ae5c-c7b63a5c680e.jpg,3926646,https://www.airbnb.com/users/show/3926646,1462642783643087797,https://www.airbnb.com/users/profile/1462642783643087797,Paul,,13,8,13,8,Singapore,Hi I'm John from the US,,,,f,,https://a0.muscache.com/im/pictures/user/a87298a1-fccf-471b-a3e2-5bb0e6aa720a.jpg?aki_policy=profile_x_medium,,4,,None,t,t,,Downtown Core,Central Region,1.27663,103.84498,Private room in condo,Private room,4,,1 shared bath,,,"[""Hangers"", ""Hot tub"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Shampoo"", ""Smoking allowed"", ""Air conditioning"", ""Elevator"", ""Pets allowed"", ""Self check-in"", ""Essentials"", ""Paid parking on premises"", ""Kitchen"", ""Pool"", ""TV with standard cable"", ""Washer"", ""Luggage dropoff allowed"", ""Gym"", ""First aid kit"", ""Wifi"", ""Lockbox"", ""Fire extinguisher"", ""Doorman"", ""Hair dryer"", ""Private entrance"", ""Iron"", ""Dryer"", ""Hot water"", ""Paid parking off premises""]",$46.23,2026-07-10,2026-10-10,4253.00,46.23,"{""quote"": {""taxes"": null, ""currency"": ""SGD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""4253"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""46.22826086956521739130434783"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""4252.14"", ""raw_price_line_items"": [{""amount"": ""4252.14"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$4,252.14 SGD""}, {""amount"": ""4252.14"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$4,252.14 SGD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-07-10"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-10-10""}}",92,1123,92,92,1123,1123,92.0,1123.0,,t,22,52,82,357,2026-07-02,68,0,0,175,0,0,0,2012-11-10,2019-02-27,4.63,4.67,4.57,4.7,4.82,4.91,4.5,,,4,1,3,0,0.41
747816,https://www.airbnb.com/rooms/747816,20260629151954,2026-07-02,previous scrape,Fantastic Serviced Apartment in the Singapore CBD,"Fantastic central serviced apartment available in the heart of Singapore's central business district, directly above Tanjong Pagar MRT station in the middle of the CBD.<br /><br />Now with new cable TV with included all the latest movies and sports packages, Barclays Premier League (BPL) Rugby, Golf, Tennis etc.. broadcast. <br /><br />And new superfast fiber broadband wifi-internet.",,https://a0.muscache.com/pictures/ba895238-3fb4-45d3-ae5c-c7b63a5c680e.jpg,3926646,https://www.airbnb.com/users/show/3926646,1462642783643087797,https://www.airbnb.com/users/profile/1462642783643087797,Paul,,13,8,13,8,Singapore,Hi I'm John from the US,,,,f,,https://a0.muscache.com/im/pictures/user/a87298a1-fccf-471b-a3e2-5bb0e6aa720a.jpg?aki_policy=profile_x_medium,,4,,None,t,t,,Downtown Core,Central Region,1.27585,103.84597,Private room in condo,Private room,4,,1 shared bath,,,"[""Hangers"", ""Hot tub"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Stove"", ""Shampoo"", ""Smoking allowed"", ""Air conditioning"", ""Elevator"", ""Self check-in"", ""Essentials"", ""Microwave"", ""Paid parking on premises"", ""Kitchen"", ""Refrigerator"", ""Pool"", ""TV with standard cable"", ""Washer"", ""Luggage dropoff allowed"", ""Gym"", ""Wifi"", ""Lockbox"", ""Fire extinguisher"", ""Doorman"", ""Hair dryer"", ""Private entrance"", ""Iron"", ""Dryer"", ""Hot water"", ""Paid parking off premises""]",$45.89,2026-07-03,2026-10-03,4222.00,45.89,"{""quote"": {""taxes"": null, ""currency"": ""SGD"", ""date_match"": null, ""service_fee"": null, ""total_price"": ""4222"", ""cleaning_fee"": null, ""is_available"": true, ""discount_amount"": null, ""price_per_night"": ""45.89130434782608695652173913"", ""nightly_subtotal"": null, ""discounted_subtotal"": ""4221.31"", ""raw_price_line_items"": [{""amount"": ""4221.31"", ""item_type"": ""other"", ""description"": ""Average monthly price"", ""price_string"": ""$4,221.31 SGD""}, {""amount"": ""4221.31"", ""item_type"": ""discounted_subtotal"", ""description"": ""Price after discount"", ""price_string"": ""$4,221.31 SGD""}], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-07-03"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-10-03""}}",92,1124,92,92,1124,1124,92.0,1124.0,,t,29,59,89,364,2026-07-02,25,0,0,182,0,0,0,2012-11-11,2018-09-14,4.56,4.44,4.32,4.76,4.88,4.96,4.28,,,4,1,3,0,0.15
